uf,ano,gasto_saude_per_capita
Rondônia,2013,502.62
Acre,2013,990.7
Amazonas,2013,630.89
Roraima,2013,922.97
Pará,2013,235.98
Amapá,2013,799.43
Tocantins,2013,840.61
Maranhão,2013,236.43
Piauí,2013,270.37
Ceará,2013,266.6
Rio Grande do Norte,2013,368.4
Paraíba,2013,260.76
Pernambuco,2013,446.53
Alagoas,2013,275.26
Sergipe,2013,402.0
Bahia,2013,264.24
Minas Gerais,2013,267.27
Espírito Santo,2013,508.84
Rio de Janeiro,2013,299.94
São Paulo,2013,330.84
Paraná,2013,310.29
Santa Catarina,2013,337.44
Rio Grande do Sul,2013,331.77
Mato Grosso do Sul,2013,374.58
Mato Grosso,2013,354.62
Goiás,2013,254.95
Total,2013,328.15
Rondônia,2014,499.13
Acre,2014,1082.07
Amazonas,2014,679.08
Roraima,2014,743.27
Pará,2014,255.9
Amapá,2014,822.97
Tocantins,2014,980.47
Maranhão,2014,276.49
Piauí,2014,312.04
Ceará,2014,321.85
Rio Grande do Norte,2014,386.65
Paraíba,2014,289.2
Pernambuco,2014,520.06
Alagoas,2014,290.27
Sergipe,2014,415.78
Bahia,2014,300.36
Minas Gerais,2014,282.25
Espírito Santo,2014,607.02
Rio de Janeiro,2014,334.81
São Paulo,2014,501.75
Paraná,2014,365.02
Santa Catarina,2014,392.55
Rio Grande do Sul,2014,369.11
Mato Grosso do Sul,2014,397.59
Mato Grosso,2014,390.51
Goiás,2014,289.78
Total,2014,395.95
Rondônia,2015,573.28
Acre,2015,1042.64
Amazonas,2015,669.46
Roraima,2015,1028.45
Pará,2015,273.74
Amapá,2015,813.76
Tocantins,2015,866.57
Maranhão,2015,254.18
Piauí,2015,339.62
Ceará,2015,314.48
Rio Grande do Norte,2015,406.1
Paraíba,2015,302.83
Pernambuco,2015,499.72
Alagoas,2015,323.24
Sergipe,2015,417.84
Bahia,2015,302.75
Minas Gerais,2015,322.15
Espírito Santo,2015,637.26
Rio de Janeiro,2015,336.99
São Paulo,2015,530.64
Paraná,2015,387.85
Santa Catarina,2015,412.86
Rio Grande do Sul,2015,372.12
Mato Grosso do Sul,2015,532.11
Mato Grosso,2015,431.46
Goiás,2015,292.94
Total,2015,412.64
Rondônia,2016,568.34
Acre,2016,1026.82
Amazonas,2016,701.2
Roraima,2016,1137.45
Pará,2016,290.44
Amapá,2016,902.16
Tocantins,2016,918.21
Maranhão,2016,289.79
Piauí,2016,373.14
Ceará,2016,340.71
Rio Grande do Norte,2016,389.44
Paraíba,2016,315.61
Pernambuco,2016,513.02
Alagoas,2016,337.82
Sergipe,2016,442.88
Bahia,2016,318.38
Minas Gerais,2016,330.81
Espírito Santo,2016,594.59
Rio de Janeiro,2016,308.29
São Paulo,2016,536.3
Paraná,2016,412.37
Santa Catarina,2016,435.65
Rio Grande do Sul,2016,393.02
Mato Grosso do Sul,2016,543.76
Mato Grosso,2016,504.53
Goiás,2016,306.49
Total,2016,424.25
Rondônia,2017,641.9
Acre,2017,1061.95
Amazonas,2017,609.57
Roraima,2017,1334.49
Pará,2017,315.21
Amapá,2017,870.72
Tocantins,2017,929.08
Maranhão,2017,311.81
Piauí,2017,397.31
Ceará,2017,373.24
Rio Grande do Norte,2017,430.78
Paraíba,2017,325.12
Pernambuco,2017,544.55
Alagoas,2017,333.41
Sergipe,2017,455.62
Bahia,2017,349.37
Minas Gerais,2017,336.61
Espírito Santo,2017,633.2
Rio de Janeiro,2017,389.85
São Paulo,2017,491.12
Paraná,2017,451.22
Santa Catarina,2017,454.17
Rio Grande do Sul,2017,406.66
Mato Grosso do Sul,2017,647.46
Mato Grosso,2017,479.9
Goiás,2017,318.27
Total,2017,435.2
Rondônia,2018,612.84
Acre,2018,1158.69
Amazonas,2018,694.86
Roraima,2018,1341.38
Pará,2018,376.54
Amapá,2018,966.69
Tocantins,2018,937.98
Maranhão,2018,324.51
Piauí,2018,426.25
Ceará,2018,408.31
Rio Grande do Norte,2018,504.0
Paraíba,2018,365.42
Pernambuco,2018,557.31
Alagoas,2018,394.36
Sergipe,2018,506.7
Bahia,2018,379.06
Minas Gerais,2018,295.89
Espírito Santo,2018,703.32
Rio de Janeiro,2018,380.24
São Paulo,2018,511.58
Paraná,2018,477.39
Santa Catarina,2018,523.4
Rio Grande do Sul,2018,439.86
Mato Grosso do Sul,2018,563.8
Mato Grosso,2018,552.48
Goiás,2018,372.91
Total,2018,457.31
Rondônia,2019,654.64
Acre,2019,1103.94
Amazonas,2019,738.67
Roraima,2019,1304.88
Pará,2019,341.4
Amapá,2019,1013.98
Tocantins,2019,1013.25
Maranhão,2019,343.48
Piauí,2019,449.33
Ceará,2019,414.93
Rio Grande do Norte,2019,440.94
Paraíba,2019,341.75
Pernambuco,2019,593.02
Alagoas,2019,411.61
Sergipe,2019,544.65
Bahia,2019,419.99
Minas Gerais,2019,418.78
Espírito Santo,2019,716.92
Rio de Janeiro,2019,350.16
São Paulo,2019,519.02
Paraná,2019,473.47
Santa Catarina,2019,496.26
Rio Grande do Sul,2019,459.99
Mato Grosso do Sul,2019,577.16
Mato Grosso,2019,530.68
Goiás,2019,606.6
Total,2019,482.78
Rondônia,2020,813.55
Acre,2020,1393.4
Amazonas,2020,923.38
Roraima,2020,1461.64
Pará,2020,456.26
Amapá,2020,1375.15
Tocantins,2020,1115.65
Maranhão,2020,432.01
Piauí,2020,662.17
Ceará,2020,516.65
Rio Grande do Norte,2020,552.47
Paraíba,2020,405.89
Pernambuco,2020,724.2
Alagoas,2020,482.48
Sergipe,2020,664.59
Bahia,2020,477.08
Minas Gerais,2020,481.71
Espírito Santo,2020,605.28
Rio de Janeiro,2020,409.38
São Paulo,2020,554.63
Paraná,2020,558.97
Santa Catarina,2020,613.01
Rio Grande do Sul,2020,537.86
Mato Grosso do Sul,2020,679.74
Mato Grosso,2020,613.12
Goiás,2020,666.02
Total,2020,558.4
Rondônia,2021,996.7
Acre,2021,1531.67
Amazonas,2021,1031.55
Roraima,2021,2059.13
Pará,2021,517.14
Amapá,2021,1650.37
Tocantins,2021,1370.32
Maranhão,2021,501.72
Piauí,2021,654.77
Ceará,2021,576.74
Rio Grande do Norte,2021,597.34
Paraíba,2021,517.94
Pernambuco,2021,822.65
Alagoas,2021,696.65
Sergipe,2021,803.01
Bahia,2021,527.83
Minas Gerais,2021,584.61
Espírito Santo,2021,944.54
Rio de Janeiro,2021,526.07
São Paulo,2021,598.64
Paraná,2021,598.12
Santa Catarina,2021,691.75
Rio Grande do Sul,2021,606.94
Mato Grosso do Sul,2021,798.06
Mato Grosso,2021,879.5
Goiás,2021,860.86
Total,2021,649.01
Rondônia,2022,1084.05
Acre,2022,1731.75
Amazonas,2022,1036.58
Roraima,2022,2315.19
Pará,2022,586.84
Amapá,2022,1565.63
Tocantins,2022,1516.37
Maranhão,2022,516.72
Piauí,2022,779.08
Ceará,2022,652.65
Rio Grande do Norte,2022,662.47
Paraíba,2022,534.18
Pernambuco,2022,896.55
Alagoas,2022,749.9
Sergipe,2022,963.68
Bahia,2022,572.83
Minas Gerais,2022,596.44
Espírito Santo,2022,980.88
Rio de Janeiro,2022,648.74
São Paulo,2022,687.4
Paraná,2022,610.46
Santa Catarina,2022,840.86
Rio Grande do Sul,2022,568.41
Mato Grosso do Sul,2022,821.62
Mato Grosso,2022,964.31
Goiás,2022,846.95
Total,2022,709.39
